Date,NVDA_Close,GSPC_Close,NVDA_Volume,GSPC_Volume,NVDA_Return,GSPC_Return,NVDA_RollingVol,GSPC_RollingVol,NVDA_Direction,NVDA_Return_lag1,NVDA_Momentum_5D,NVDA_vs_GSPC_Return_Spread,NVDA_RollingVol_10D,NVDA_Volume_MA_5,NVDA_Volume_Spike,NVDA_GSPC_RollingCorr_10D
2010-01-05,0.430073,1136.520020,728648000,2491020000,0.014602,0.003116,0.023311,0.007938,1,,,0.011486,,,0,
2010-01-06,0.432824,1137.140015,649168000,4972660000,0.006397,0.000546,0.023311,0.007938,0,0.014602,,0.005851,,,0,
2010-01-07,0.424342,1141.689941,547792000,5270680000,-0.019598,0.004001,0.023311,0.007938,1,0.006397,,-0.023599,,,0,
2010-01-08,0.425259,1144.979980,478168000,4389590000,0.002161,0.002882,0.023311,0.007938,0,-0.019598,,-0.000721,,,0,
2010-01-11,0.419299,1146.979980,556612000,4255780000,-0.014016,0.001747,0.023311,0.007938,0,0.002161,,-0.015763,,592077600.000000,0,
2010-01-12,0.405085,1136.219971,627432000,4716160000,-0.033898,-0.009381,0.023311,0.007938,1,-0.014016,-0.058102,-0.024517,,571834400.000000,0,
2010-01-13,0.410587,1145.680054,508868000,4170360000,0.013582,0.008326,0.023311,0.007938,0,-0.033898,-0.051377,0.005256,,543774400.000000,0,
2010-01-14,0.404168,1148.459961,608524000,3915200000,-0.015634,0.002426,0.023311,0.007938,0,0.013582,-0.047542,-0.018060,,555920800.000000,0,
2010-01-15,0.392247,1136.030029,818192000,4758730000,-0.029495,-0.010823,0.023311,0.007938,1,-0.015634,-0.077628,-0.018672,,623925600.000000,0,
2010-01-19,0.399583,1150.229980,545328000,4724830000,0.018702,0.012500,0.023311,0.007938,0,-0.029495,-0.047021,0.006202,0.019177,621668800.000000,0,0.807695
2010-01-20,0.397978,1138.040039,719728000,4810560000,-0.004016,-0.010598,0.023311,0.007938,0,0.018702,-0.017544,0.006582,0.017842,640128000.000000,0,0.706509
2010-01-21,0.390871,1116.479980,608632000,6874290000,-0.017857,-0.018945,0.023311,0.007938,0,-0.004016,-0.048019,0.001088,0.017373,660080800.000000,0,0.671309
2010-01-22,0.377346,1091.760010,1067916000,6208650000,-0.034604,-0.022141,0.023311,0.007938,1,-0.017857,-0.066363,-0.012463,0.018877,751959200.000000,0,0.794357
2010-01-25,0.383765,1096.780029,643676000,4481390000,0.017011,0.004598,0.023311,0.007938,0,-0.034604,-0.021624,0.012413,0.020579,717056000.000000,0,0.791497
2010-01-26,0.371615,1092.170044,714636000,4731910000,-0.031661,-0.004203,0.023311,0.007938,1,0.017011,-0.069993,-0.027458,0.021686,750917600.000000,0,0.768903
2010-01-27,0.381702,1097.500000,812504000,5319120000,0.027144,0.004880,0.023311,0.007938,0,-0.031661,-0.040897,0.022264,0.023302,769472800.000000,0,0.776976
2010-01-28,0.368864,1084.530029,687764000,5452400000,-0.033634,-0.011818,0.023311,0.007938,0,0.027144,-0.056302,-0.021816,0.023744,785299200.000000,0,0.761787
